2057|174|"OLD_vt1_Isokylän_Tun_O2"
2058|175|"OLD_vt1_Isokylän_Tun_O3"
2059|176|"vt1_Salo_Muurla_1"
2060|177|"vt1_Salo_Muurla_2"
2061|178|"st110_Salo_Kettulanmäki_R"
2062|179|"st110_Salo_Kolmperä_R"
2063|180|"st110_Salo_Aneriojärvi_R"
2064|181|"OLD_vt1_Rusko_R"
2065|182|"st110_Salo_Valkjärvi_R"
2066|183|"OLD_vt1_Vähä-Rytkö_R"
2072|184|"OLD_vt1_Kitula_O"
2078|185|"OLD_vt1_Kettulanmäki_R"
2079|186|"OLD_vt1_Aneriojärvi_R"
2080|187|"OLD_vt1_Saha_R"
2081|188|"OLD_vt1_Vähä-Rytkö_R"
2082|189|"OLD_vt1_Isokylän_Tun_O4"
2083|190|"OLD_vt1_Isokylän_Tun_O5"
2084|191|"OLD_vt1_Isokylän_Tun_O6"
2085|192|"OLD_vt1_Paimio_O2"
2086|193|"OLD_vt1_Isokylän_Tun_Opt"
2087|194|"vt10_Lieto_Vierunkoski_R"
2088|195|"st180_Kaarina_Kirjalansalmi_R"
2089|196|"vt10_Lieto_Vierunkoski_Opt_12"
2090|197|"vt8_Rauma_Luostarinkylä_Opt1"
2091|198|"vt2_Kokemäki_Seppälänahde_Opt"
2092|199|"vt2_Pori_Kähkönen_Opt1"
2093|200|"OLD_yt12263_Masku_vanha_Opt"
2094|201|"vt1_Kaarina_Hiiskanmäki_Opt1"
2095|982|"kt40_Lieto_Auranlaakso_Opt"
2096|1001|"vt9_Turku_Kärsämäki_Opt"
2097|983|"vt8_Masku_Humikkala_1"
2098|984|"vt8_Masku_Humikkala_2"
2099|1003|"vt8_Masku_Humikkala_Opt1"
2100|1002|"vt8_Masku_Humikkala_Opt2"
2101|1343|"vt8_Merikarvia_Kuvaskangas_Opt"
2102|1324|"vt23_Kankaanpää_Hapua_Opt1"
2103|1325|"vt8_Eurajoki_Pinkjärvi_Opt1"
2104|1344|"vt8_Mynämäki_Motelli_Opt1"
2105|1326|"vt8_Pyhäranta_Ihode_Opt2"
2106|1345|"vt9_Loimaa_Mellilä_Opt1"
2107|1346|"vt8_Pori_Ahlainen_Opt1"
2108|1383|"vt1_Salo_Muurla_Opt1"
2109|1384|"vt1_Salo_Muurla_Opt2"
2110|1364|"vt1_Salo_Haukkala_Opt1"
2111|1365|"vt1_Salo_Haukkala_Opt2"
2112|1385|"vt1_Salo_Halikko_Opt1"
2113|1366|"vt1_Salo_Halikko_Opt2"
2114|1386|"vt1_Salo_Hajala_Opt1"
2115|1403|"vt1_Salo_Hajala_Opt2"
2116|1387|"vt1_Paimio_Pitkäporras_Opt1"
2117|1388|"vt1_Paimio_Pitkäporras_Opt2"
2118|1389|"vt1_Paimio_Valkoja_Opt1"
2119|1404|"vt1_Paimio_Valkoja_Opt2"
